,Date,Username,Tweet,Lokasi
64,2023-03-02 09:07:28+00:00,"@kemkominfo @PlateJohnny , Menteri BUMN Erick Thohir, Menko Marves Luhut Panjaitan dan Ketua DPR RI Puan Maharani tampak hadir di gelaran F1 Powerboad Lake Toba, Indonesia. https://t.co/hqEoCSv7ab",Loujssa,
65,2023-03-02 08:51:02+00:00,@Fahrihamzah @PDI_Perjuangan @puanmaharani_ri kok bisaa orang ini jadi durno umat islam...hilang akal sehat a ...,AgusMul33787106,
66,2023-03-02 08:23:11+00:00,@puanmaharani_ri Si ratu matiin mik haha...,Alfarouqi4,
67,2023-03-02 08:22:51+00:00,"Beras naik....beras naik
@jokowi  @susipudjiastuti  @NenkMonica  @budimandjatmiko  @mohmahfudmd  @puanmaharani_ri  @ridwankamil  
@AgusYudhoyono  @humasjabar  
@airlangga_hrt",AgusRusyana86,"Kota Bandung, Jawa Barat"
68,2023-03-02 08:17:34+00:00,"https://t.co/H7fatQJR3A
Joged ibu ibu
@susipudjiastuti  @puanmaharani_ri  @riekediahp  @airlangga_hrt  @NenkMonica  @budimandjatmiko",AgusRusyana86,"Kota Bandung, Jawa Barat"
69,2023-03-02 07:54:40+00:00,"*Puan Minta Sertifikat Tanah Warga Akibat Gempa Diperlancar*

Ketua DPR RI Puan Maharani menyerahkan sertifikat tanah kepada warga Cianjur, Jawa Barat. Ia pun menegaskan komitmen DPR RI 

https://t.co/fxD4pM9ftr

#PDIPerjuangan
#PDIPerjuanganJabar
#SolidBergerak https://t.co/PxU62U7311",AhmadLauhil,"Bekasi, Jawa Barat"
70,2023-03-02 07:35:23+00:00,@aaabbbbb__ @/puanmaharani_ri,dolcelatte01_,Me Done
71,2023-03-02 07:22:57+00:00,"@NenkMonica @puanmaharani_ri Seharus dari awal mpo,kenapa baru sekarang ,lagu2an",ESupriatna20,
72,2023-03-02 07:21:30+00:00,"Coba cek, dari kabupaten/walkot/gubernur plat mobil dinas apa sdh bayar pajak atau blm. Minta APBD kenceng utk projek tapi bayar transportasi tdk ada itu pk @prastow 
Cc @jokowi @mohmahfudmd @erickthohir @sandiuno @puanmaharani_ri @bahlillahadalia  @ganjarpranowo @Fahrihamzah",Hendrikorachman,
73,2023-03-02 07:05:18+00:00,"Lembaga independen seperti @KPK_RI , @bpkri , @KPU_ID bisa mengggugat UU/kebijakan menteri dll ke @officialMKRI  dg memakai UU @KPK_RI baru
Cc @jokowi @mohmahfudmd @Fahrihamzah @nazaqistsha @febridiansyah @jansen_jsp @andre_rosiade @puanmaharani_ri @LaNyallaMM1 @RamliRizal",Hendrikorachman,
